City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
264,Nibbar,TN,36.2941,8.7666,48.99,57,76,3.4,broken clouds
265,Aitape,PG,-3.1374,142.3475,84.96,71,80,11.14,broken clouds
266,Faanui,PF,-16.4833,-151.75,80.64,75,75,13.56,light rain
267,Batemans Bay,AU,-35.7167,150.1833,72.19,60,57,13.27,broken clouds
268,College,US,64.8569,-147.8028,5.58,78,100,0.0,mist
269,Veraval,IN,20.9,70.3667,70.95,50,23,2.13,few clouds
270,Pisek,CZ,49.3088,14.1475,37.18,77,88,13.53,overcast clouds
271,Altamira,BR,-3.2033,-52.2064,71.1,99,88,2.06,heavy intensity rain
272,Bilibino,RU,68.0546,166.4372,-7.69,86,1,5.3,clear sky
273,Sur,OM,22.5667,59.5289,74.75,35,6,7.36,clear sky
274,Asyut,EG,27.181,31.1837,47.01,76,4,8.61,clear sky
275,Ribeira Grande,PT,38.5167,-28.7,58.86,79,21,5.61,few clouds
276,Oktyabrskiy,RU,54.4815,53.471,22.57,94,100,3.78,overcast clouds
277,Worland,US,44.0169,-107.9554,29.68,82,75,3.0,broken clouds
278,Algiers,DZ,36.7525,3.042,55.13,54,100,2.13,overcast clouds
279,Quatre Cocos,MU,-20.2078,57.7625,81.09,85,99,19.48,light rain
280,Langres,FR,47.8333,5.3333,27.45,93,12,4.61,few clouds
281,Zhangye,CN,38.9342,100.4517,22.46,28,100,2.64,overcast clouds
282,Kirakira,SB,-10.4544,161.9205,84.79,75,98,8.68,overcast clouds
283,Rochegda,RU,62.8,43.25,-10.07,100,99,3.91,overcast clouds
284,Uhlove,UA,44.8215,33.6045,32.58,81,97,5.82,overcast clouds
285,Houma,US,29.5958,-90.7195,35.6,88,100,14.07,overcast clouds
286,Barentu,ER,15.1139,37.5928,60.96,79,2,4.25,clear sky
287,Chifeng,CN,42.2683,118.9636,23.61,38,3,18.66,clear sky
288,Cayenne,GF,4.9333,-52.3333,79.09,86,75,7.0,light rain
289,Kipushi,CD,-11.7667,27.2333,60.24,95,100,2.19,overcast clouds
290,Kavieng,PG,-2.5744,150.7967,83.95,71,83,8.93,broken clouds
291,Kontagora,NG,10.3999,5.4695,67.77,14,0,7.78,clear sky
292,Cukai,MY,4.25,103.4167,79.7,85,98,10.54,overcast clouds
293,Miraflores,MX,19.2167,-98.8083,61.03,55,11,2.19,few clouds
294,Poum,NC,-20.2333,164.0167,81.48,75,97,14.07,overcast clouds
295,Vila Franca Do Campo,PT,37.7167,-25.4333,57.61,82,100,8.57,overcast clouds
296,Ho Chi Minh City,VN,10.75,106.6667,91.42,40,20,4.61,few clouds
297,Bambous Virieux,MU,-20.3428,57.7575,81.21,85,98,20.8,light rain
298,Kawalu,ID,-7.3817,108.2082,81.7,75,97,1.45,overcast clouds
299,Zarand,IR,30.8127,56.564,57.74,41,94,9.89,overcast clouds
300,Alindao,CF,5.0267,21.2088,70.47,35,86,1.5,overcast clouds
301,Bidhuna,IN,26.8022,79.5088,61.07,54,0,5.19,clear sky
302,Uchiza,PE,-8.4592,-76.4633,70.63,97,96,0.98,overcast clouds
303,Acarau,BR,-2.8856,-40.12,78.22,83,37,11.01,scattered clouds
304,Ust-Barguzin,RU,53.45,108.9833,10.65,89,100,1.16,overcast clouds
305,Hastings,GB,50.8552,0.5729,38.97,82,0,13.15,clear sky
306,Huron,US,41.1501,-82.5499,16.02,87,99,5.86,overcast clouds
307,Nicoya,CR,10.1483,-85.452,76.55,78,20,8.52,few clouds
308,Byron Bay,AU,-28.65,153.6167,77.05,66,81,22.41,light rain
309,Ostrovnoy,RU,68.0531,39.5131,15.28,83,100,27.0,overcast clouds
310,Ucluelet,CA,48.9329,-125.5528,45.09,92,68,4.0,broken clouds
311,Jacareacanga,BR,-6.2222,-57.7528,73.09,98,100,2.19,overcast clouds
312,Oussouye,SN,12.485,-16.5469,69.89,55,0,4.83,clear sky
313,Severo-Kurilsk,RU,50.6789,156.125,30.51,89,86,9.75,light snow
314,Ilebo,CD,-4.3167,20.5833,70.02,95,100,1.61,overcast clouds
315,Chhata,IN,27.7167,77.5,59.18,61,0,3.87,clear sky
316,Leh,IN,34.1667,77.5833,1.27,87,88,2.73,overcast clouds
317,Nouadhibou,MR,20.931,-17.0347,65.79,66,13,12.84,few clouds
